artTitle,artContent
郭子乾趕高鐵巧遇王世堅 網譏「想看韓院長表示....」,"郭子乾（左）和王世堅昨在高鐵站巧遇，開心拍下同框合影。（翻攝自郭子乾臉書）
〔記者林南谷／台北報導〕藝人郭子乾3月27日化身立法院長「韓國魚」前往立院拍片，期間還跑去民進黨立委王世堅辦公室拜會。事後，王世堅受訪表示，當時有被嚇到，並稱讚郭子乾模仿超像，「我只能說9分以上。」
沒想到郭子乾昨在高鐵趕路行程，竟巧遇王世堅，兩人當場拍下同框合影，事後郭子乾在臉書曬照說：「在節目都是用模仿合照，難得有機會用哥的本尊合照。」直呼真是太巧了。
今年3月27日郭子乾前往立院拍片，被王世堅誇他模仿的韓國瑜不但活靈活現且有仔細研究韓國瑜背景，並說完全不知道郭子乾會到立法院，「當時郭子乾進來時，我還以為那是真的韓國瑜。」
更爆笑的是，郭子乾昨曬出和王世堅同框，意外釣出粉絲網友留言：「很想看韓院長表示....」"
國民黨智庫籲新政府解除不合時宜兩岸禁令 恢復正常往來,"2024/05/14 15:49


 國民黨智庫表示，國民黨將在智庫國安組召集人陳永康（見圖）的帶領下，於立法院下會期推動「國家安全戰略法」立法。（資料照）

〔記者施曉光／台北報導〕新總統賴清德520將走馬上任，國民黨智庫今日呼籲新政府解除諸多不合時宜的現行兩岸禁令，恢復兩岸正常往來，並提出能有效化解兩岸敵意，尋求恢復兩岸對話溝通管道的解方，進而降低台海衝突風險，以徹底化解戰爭陰霾。國民黨智庫表示，國民黨將在智庫國安組召集人陳永康的帶領下，於立法院下會期推動「國家安全戰略法」立法，成為指導國家政策發展與運用的工具，建立從上到下及跨部會協調的最高政策指導，整理與整合有限資源的危機處理能力，達成國家安全目標。國民黨智庫建議，兩岸關係應該控管分岐以及降低風險，同時推動兩岸正常交流，新政府應該通盤檢討並解除諸多不合時宜的現行兩岸禁令，恢復兩岸正常往來，藉由互動消弭誤解，也不應該再任意增加限制兩岸互動的法令，台海絕非零和遊戲，國民黨支持國軍強化自我防衛能力，也希望新政府能遵循中華民國憲法及「台灣地區與大陸地區人民關係條例」的兩岸關係定位，提出具體可行的兩岸政策，推進兩岸和解。在外交關係方面，國民黨智庫主張，維護中華民國主權是外交首要任務，期望新政府在深化與民主國家互動之際，不要忘記鞏固邦交國關係的重要性，同時礙於國際現實，兩岸取得互信諒解，才是我國擴大國際空間的根本之道，並強調親美、和陸並不衝突，台灣應該以堅實國防與尊嚴對話，徹底消弭台海衝突因子，進而提升中華民國的國際地位。國民黨智庫強調，民進黨過去8年無法有效推進兩岸對話，卻無端抹紅在野黨，甚至惡意將主張兩岸應和平共處的溫和聲音都污衊為「中共同路人」，試圖藉由「寒蟬效應」遂行其大內宣的認知戰，結果雖達到民進黨的政治目的，卻重創兩岸關係的基本互信，遑論如何達到全民團結一致對外的共識。"
漲電價要立法院同意！藍白再聯手表決通過「電業法」逕付二讀,"2024/05/03 11:54


 立法院議場上演藍綠表決攻防，國民黨團高喊凍漲電價苦民所苦。（記者田裕華攝）

〔記者林欣漢、陳政宇、李文馨／台北報導〕藍白再聯手！立法院會今日藍白聯手封殺民進黨立委沈伯洋等人提出「台灣地區與大陸地區人民關係條例修正草案」，退回程序委員會重新提出。國民黨團、民眾黨團在報告事項後再出招，提出變更議程，分別抽出動議6案、2案，包括「地方民意代表費用支給及村里長事務補助費補助條例修正草案」、「電業法第49條修正草案」、「證券交易法修正草案」、「立法院職權行使法部分條文修正草案」等，即使民進黨團一再提議重付表決，藍白均以人數優勢順利逕付二讀。其中，「電業法第49條修正草案」要求電價審議委員會所做的決議須在一個月內送交立法院取得同意才得實施，表決結果出席109人，贊成58人，反對51人，順利逕付二讀，未來若三讀通過，漲電價須經立院同意。另外，討論事項部分，國民黨團擬具「四零三震災重建條例草案」、經濟、交通兩委員會報告審查委員傅崐萁等53人擬具「環島高速鐵路建設特別條例草案」、交通委員會報告審查委員傅崐萁等33人擬具「花東快速公路建設特別條例草案」案、交通委員會報告審查委員傅崐萁等53人擬具「國道六號東延花蓮建設特別條例草案」案，均因尚待協商，決議協商後再行處理。

 立法院議場上演藍綠表決攻防，國民黨團高喊凍漲電價苦民所苦。（記者田裕華攝）"
徐巧芯丈夫被控過去是挺朱網軍 朱立倫：外界不應牽拖,"2024/05/03 11:07


 國民黨智庫3日召開「520新政府 新期待 別讓人民受傷害」記者會，國民黨主席朱立倫出席致詞並於會後受訪。（記者塗建榮攝）

〔記者施曉光／台北報導〕捲入大姑夫婦詐騙風波的國民黨立委徐巧芯丈夫劉彥澧，被爆料過去是網軍，專門吹捧當時的新北市長朱立倫，朱立倫今日上午接受媒體訪問時回應稱，外界不應牽拖，並強調劉是一個優秀的人才，過去擔任他的助理，支持他是應該的，希望惡意攻擊可以到此為止。朱立倫表示，外界不應該牽拖、惡意抹殺任何人的貢獻，當時劉彥澧做為他的助理，支持他是應該的，現在已經無限上綱，大家對徐巧芯以及國民黨立委的惡意攻擊，應該到此為止，台灣的民主要向上提升，不要變成無聊的八點檔連續劇，這種惡意抹黑沒有意義。此外，由於立法院國民黨團日前要求立委提案內容中使用「中國」的詞彙，修改為「大陸」，引來社會爭議，有網友把Google map上的「中國國民黨」改為「大陸國民黨」，朱立倫回應，台灣一定要遵守中華民國憲法與兩岸人民關係條例規定，民進黨如果要改變，想要修憲或毀掉兩岸人民關係條例，就請明確說出來，他希望準總統賴清德在520後到立法院進行國情報告時，明確表達中華民國憲法規定，難道民進黨要改變中華民國憲法？而國民黨是一定遵守憲法與兩岸人民關係條例。有關民眾黨立委黃國昌最近爆料民眾黨主席柯文哲與蔡英文總統在總統府內喬NCC人事，朱立倫表示，不管有沒有交換意見或討論，看來是完全無效，但民進黨還是一意孤行，以一黨之私想要掌控媒體與NCC，他還說，今天如果溝通有效，相信民進黨絕對不敢像現在就要丟出NCC名單，一意孤行。"
「姓名條例修正草案」三讀通過 原住民族可於身分證單列族名,"2024/05/14 12:17


 立法院長韓國瑜敲下議事槌，三讀通過姓名條例部分條文修正草案。（記者劉信德攝）

〔記者林欣漢／台北報導〕立法院今日三讀通過「姓名條例部分條文修正草案」，條文明定「台灣原住民族依其文化慣俗登記傳統姓名者，得使用原住民族文字」，代表未來原住民可於身分證等文件上單列族名。三讀條文明定，辦理戶籍登記、申請歸化或護照時，應取用中文姓名，並應使用辭源、辭海、康熙等通用字典或教育部編訂之國語辭典中所列有之文字，「台灣原住民族依其文化慣俗登記傳統姓名者，得使用原住民族文字」，代表未來原住民可於身分證等文件上單列族名。內政部長林右昌表示，姓名認同是非常重要的，這不僅代表社會的進步，也是整個社會文化的提升，這次修法重點主要增訂原住民族可使用原住民族文字單列名字，不必侷限於中文姓名，具有歷史性意義，是族人、民間團體、立委、政府長期努力的結果，透過姓名登記，促進族群融合平等，更進一步認識了解彼此，讓原住民族文字原味呈現原住民族文化。林右昌說明，過去規定原住民族姓名僅可以登記「漢人姓名」、「漢人姓名並列羅馬拼音」、「中文傳統名字」或「中文傳統名字並列羅馬拼音」，這次修法通過後，增訂原住民族可以使用原住民族文字單列為名字，並新增原住民族依其文化慣俗改名時，因非屬個人因素改名者，不列入次數計算。另也為族人爭取額外權益，像是原住民族在出生登記及初設戶籍登記，直接採用傳統名字登記，之後想改用漢人姓名及又再次回復傳統名字，將以1次為限。林右昌指出，這次姓名條例修法，用法律維護原住民族的文化慣俗，原住民族語言是原住民族文化的一部分，鼓勵原住民族傳承族人的文化，未來針對技術性及行政上應更改的措施，將與其他相關部會討論，一同精進改善。"
馬祖竟配合中共推「福馬同城通」 學者籲：嚴辦連江縣府違法行為,"2024/05/09 05:30


 中國福建省政府給予馬祖民眾已儲值三百元人民幣的「福馬同城通」交通卡，連江縣政府竟違法逕在官網配合中共代辦申請業務。	（圖擷取自連江縣長王忠銘臉書、北竿鄉公所官網）

〔記者陳鈺馥／台北報導〕中國福建省人民政府推出惠台十三條措施，給予馬祖民眾已儲值三百元人民幣的「福馬同城通」交通卡，連江縣政府竟違法逕在官網配合中共代辦申請業務。立委昨痛批，中共以廉價的經濟紅利，在做地方包圍中央的統戰工作；學者除提醒個資外洩的資安疑慮，並批評連江縣府是公務機關，公務人員怎可幫中共代辦業務，政府應嚴辦違法行為。立委痛批 縣府違反兩岸條例民進黨立委林楚茵受訪指出，連江縣政府代辦中共推出的「福馬同城通」卡，她日前有行文交通部，交通部回函明確告知地方未向中央申請；當地方直接繞過中央與中共官方單位對接合作，違反了兩岸條例的規定。據交通部書面回覆，交通部觀光署為吸引國際旅客來台，今年一月一日整合推出「Taiwan PASS」高鐵國際版，產品內含「台灣高鐵、四大捷運系統、四大熱門台灣好行路線」等交通服務，惟未包括「福馬同城通」交通卡；亦未接獲連江縣府合作代辦「福馬同城通」交通卡的相關申請。林楚茵質疑，中共對台一手打壓、一手拉攏，透過國民黨立委在立法院佔多數，藍營地方執政縣市較多，直接就是用「地方包圍中央」招數，例如以「福馬同城通」交通卡等廉價的紅利來吸引馬祖民眾，相關單位要更加重視此類以交流名義包裝的統戰操作。學者提醒 會有個資外洩疑慮林楚茵批評，以前「藍八縣」離中國較遠，統戰分化伎倆沒有很成功，中共現在又推出「福馬同城生活圈」，以經濟優惠要讓馬祖與福州對接，未來金門、馬祖要做兩岸融合發展示範區，現在交通卡先做起來，兩地較容易有生活圈，本質上還是在搞統戰。政治大學國際關係研究中心研究員宋國誠示警指出，中國電子支付票卡有隱藏的後門程式，使用後可能連帶個資、信用卡資料都會被竊取，除了交易方便外，其實是中共收集公民資訊的社會控制，台灣民眾應盡量少用「中國卡」。台灣教授協會會長陳俐甫受訪表示，國民黨立院黨團總召傅崐萁去北京，中共同步宣布開放福建民眾到馬祖旅遊，推出預儲三百元人民幣的交通卡，這是早就規劃好的統戰「讓利」，要將馬祖民眾吸納過去，並施壓民進黨政府。陳俐甫質疑，公務人員不得接受中共賄賂，若有馬祖公務員申領，等於遊走法律灰色地帶。更嚴重的是，連江縣政府是公務機關，公務人員怎可幫中共代辦業務？連江縣府有無答應福建官方什麼或去簽了什麼，此事政府若不嚴辦，以後各地方政府會群起效尤。"
列8點幫徐巧芯「上課」 苦苓：多少讀一點書好嗎？,"2024/05/08 07:03


 苦苓針對徐巧芯洩密一事，在臉書列出8點要來替徐巧芯「上課」，苦苓也說：「沒事別再自我毀滅了，多少讀一點書，好嗎？」（資料照）

黃其豪／核稿編輯〔即時新聞／綜合報導〕國民黨立委徐巧芯日前出示立法院機密公文，指稱台灣和捷克簽訂「援烏密約」，質疑「間接介入捷克政黨政治」，外交部7日告發洩密，徐巧芯對此則則回應：「身上沒有汙泥、沒有傷痕，算不上將軍。」作家苦苓針對徐巧芯洩密一事，7日晚間在臉書列出8點，要來替徐巧芯「上課」，苦苓也直言：「沒事別再自我毀滅了，多少讀一點書，好嗎？」苦苓指出，一份政府文件是不是機密，由發文的單位決定，不是受文者決定；徐的便利貼遮蓋部分機密，但「洩露部分機密」和洩漏「全部」機密同罪。苦苓強調，徐巧芯並不是在監督，立委要監督機密事件，應在立法院召開機密會議、要求外交部說明，而不是擅自公布機密。且徐巧芯也不是揭弊，揭弊要調查、提出證據，但是徐通通沒有，只有「打聽」和「謠傳」，苦苓直言：「根本就是八婆的行為！」苦苓表示，這件事徐巧芯沒有言論免責權，因為徐不是在立法院院會或委員會中提出，而是公開向記者宣示；而徐所說的「已經洩漏的機密不叫機密」更好笑，剛好證明徐在洩露前就已經知道那是機密，坐實罪狀。苦苓也質疑徐：「你怎麼不想一想，立法院上百名立委都有這份機密文件，怎麼沒有一個傻到會拿出來公開？沒錯，『將軍一定會有傷痕』，但是許多在戰場上受傷的早早就死了......因為『不長眼』！」"
不記名舉手表決》黃國昌：因應綠想癱瘓議事,"2024/05/19 05:30


 台灣民眾黨立法院黨團總召黃國昌。（記者廖振輝攝）

〔記者李文馨、董冠怡／綜合報導〕立法院院會前天為處理國民黨團與民眾黨團聯手提出的國會擴權法案，朝野立委大混戰，期間立法院長韓國瑜將記名表決改為「不記名舉手表決」，引發綠委批評國會人大化。對此，民眾黨團總召黃國昌表示，院長韓國瑜裁定舉手表決沒有違法，此舉是為因應綠委想創造兩難癱瘓議事。黃國昌表示，按照現行議事規則，立法院有很多投票方式，其中一個是「舉手表決」，因此韓國瑜裁定用舉手表決沒有違法；如果民進黨不喜歡舉手表決，也沒看到他們提案把舉手表決刪除，「請問你們到底在抗議什麼？」至於為何要改採舉手表決？黃國昌說，因在野黨要保護主席台因此沒在座位上，民進黨團就質疑議事人員不能發表決卡，目的就是要創造兩難，讓立委只准在座位投票，但若在野黨立委回到座位，民進黨立委將占領主席台癱瘓議事。民眾黨主席柯文哲昨出席立委黃珊珊基隆服務處揭牌受訪時也說，人家說「當家不鬧事」，很難想像怎麼會是執政黨在抗爭。他也對總統當選人賴清德喊話說，立院民進黨團總召柯建銘質疑白營立委當幫兇、藍白聯合賣台，發言代表你內心的想法嗎？這會決定未來四年朝野如何相處，「你真的希望吵吵鬧鬧的嗎？」柯文哲說，民眾黨是可以商量的，每一個政黨都得面對民意，沒有人敢推出民意不喜歡的法案，因此絕大多數的法案會有大家都可以妥協的版本，但從二月一日至今「民進黨有來找過我們商量嗎？」對於前天立院外群眾的矛頭似乎對準黃國昌？柯文哲說，黃國昌只是長得比較高、講話比較大聲而已。並認為，如果純粹為了政黨運作在搞衝突，很難變成大規模運動。黃國昌也指出，抗議群眾中拿麥克風講話的人，曾參與學運和政治工作，還有一些民進黨支持者，包含盾牌牙醫史書華、鬼才阿水與民進黨議員等。"
還原撞上陳菁徽情形 鍾佳濱致歉：重心不穩摔倒,"2024/05/17 12:17


 立法院院會今天預計表決國會改革相關法案，藍綠白立委在議場門口爆發推擠衝突，稍早民進黨立委鍾佳濱跳上主席台，在推擠時撲倒國民黨立委陳菁徽，隨即被其他國民黨立委架開，場面混亂。（記者劉信德攝）


相關新聞鍾佳濱致歉重心不穩才撞倒她 陳菁徽稱無法接受將提告藍綠再爆衝突！鍾佳濱跳上主席台撞倒陳菁徽遭多名藍委架走〔記者陳政宇／台北報導〕立法院今（17）日爆發肢體衝突，在表決有關NCC組織法修正案逕付二讀時，民進黨立委鍾佳濱衝上主席台遭制止，重摔倒地時撞上國民黨立委陳菁徽，遭陳批評為噁男飛撲。鍾佳濱則說明，他摔倒時重心不穩、也不曉得旁邊有人，並非特別針對誰；他對陳菁徽很抱歉，但也希望立法院長韓國瑜公平按議事規則主持院會。陳菁徽表示，他被鍾佳濱撲倒在地，非常恐慌、劇痛及憤怒，卻也萬般無奈，直接將他從主席台壓倒在地上，嚴厲譴責暴力行為，更譴責這種噁男飛撲女性委員的行徑。對此，鍾佳濱受訪表示，他對陳菁徽很抱歉，剛才也有向陳致歉，如果陳有覺得被冒犯的地方，他願意再次誠摯抱歉，希望未來議事再發生這樣的肢體碰撞，萬一有肢體碰撞，也要保護自己、盡量不要去誤傷別人。針對外界質疑「抱摔陳菁徽」，鍾佳濱還原現場狀況說明，當時很短暫，他剛跳上主席台踩到紙張後滑倒，重心不穩，旁邊有很多手伸過來，他當下拉起伸手阻擋的人，以至於將對方撲倒，這是反射動作完全沒有針對誰。他當下也因撞到桌椅目前肋骨仍在劇痛中。鍾佳濱表示，經旁人提醒後，他有向陳菁徽表達撞到身體很抱歉，希望不要再發生。鍾佳濱也強調，希望韓國瑜按議事規則公平主持院長，不要一昧地節約時間、砍斷發言並進入表決，這些衝突的根源來自於議事規則及慣例被破壞，委員會完全沒有機會討論提案，國民黨甚至不斷提出修正動議，大家都不清楚接下來要討論或表決什麼。"
預告立院明恐爆發「史上最嚴重衝突」 綠營將拂曉出擊迎戰藍白,"2024/05/16 20:56


 柯建銘預告，明日立法院恐爆發史上最嚴重衝突，民主程序能否實踐，只在立法院長韓國瑜的一念之間。（記者陳政宇攝）

〔記者陳政宇／台北報導〕立法院會明（17日）將處理藍白所提國會改革相關法案，恐上演表決大戰，據悉，民進黨團今（16日）已通知黨團成員，明清晨6時將甲級動員，多位中南部立委已留宿台北備戰；民進黨團總召柯建銘更預告，明日立法院恐爆發史上最嚴重衝突，民主程序能否實踐，只在立法院長韓國瑜的一念之間。韓國瑜今再度召集朝野黨團協商，包括由國民黨團總召傅崐萁等人提出的「環島高速鐵路建設特別條例草案」、「花東快速公路建設特別條例草案」等2案，以及藍白擬具的國會改革相關修法草案。朝野黨團幹部展開長達約5個半小時的協商，於晚間7時半結束。民進黨團總召柯建銘會後受訪強調，明天是非常關鍵的時候，只在韓國瑜的一念之間，因為立法院的民主程序要能實踐。柯建銘說，民進黨曾30多年表決沒有成功過，但會愈戰愈勇、把道理講清楚，雖然輸了表決但要贏得道理、民心與論述，民進黨團知道未來4年的任何表決都會輸，但當國會所有程序被沒收之際，國家就倒了，國會變成中國人大化、香港化，這是何其嚴重的事情，國家、民主會不會被摧毀這是何其大事，不可不慎。民進黨團幹事長吳思瑤則表示，按照國會慣例，過往從未發生過任何一個條文沒有經過協商，就直接強行表決，這也是民進黨團一直對立法院長韓國瑜喊話，一個最起碼的民主程序。吳坦言，她不了解韓國瑜明天會怎麼處理，若依據立法院長主持議事的慣例與高度，沒有協商完成的條文就不能強行表決，更何況是連協商都沒有進入，盼韓國瑜一定要守護住民主審查的底線。吳思瑤強調，韓國瑜應當知道事情的嚴重性，只是要看國民黨團是否會給韓很多的壓力，逼迫明天一定要表決；若是跳過協商強行表決，這是沒收韓國瑜的協商權，也完全沒收民主程序，絕對不可，這件事情很嚴重，她相信韓國瑜的智慧，希望擇期繼續協商。據了解，民進黨團已通知黨籍立委，明天動員時間為上午6時至半夜12時，若有變動會再隨時通知，並提醒穿著「輕便服裝」。至於是否祭人海戰術登記發言，吳思瑤僅說，都會先備著，目前都尚未確定，「我們還是會ready for everything」。

 吳思瑤呼籲，沒有協商完成的條文就不能強行表決，更何況是連協商都沒有進入，盼韓國瑜一定要守護住民主審查的底線。（記者陳政宇攝）"
